Questionnaire;Département;q1;q2a_1;q2a_2;q2b_1;q2b_2;q2c_1;q2c_2;q3a;q3b;q3b1_1;q3b1_2;q3b1_3;q3b1_4;q3b1_5;q3b1_6;q3b1_7;q3b1_8;q3c;q4a_1;q4a_2;q4a_3;q4a_4;q4a_5;q4a_6;q4b_1;q4b_2;q4b_3;q4b_4;q4b_5;q4b_6;q4c_1;q4c_2;q4c_3;q4c_4;q4c_5;q4c_6;q5;q6;q7;q8;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q10;q11;q11b1;q11b2;q11b3;q11b4;q11b5;q11b6;q11b7;q11b8;q11b9;q11b10;q11b11;q11b12;q11b13;q12;q13;q13b_1;q13b_2;q13b_3;q13b_4;q13b_5;q13b_6;q13b_7;q14;q15;q16_1;q16_2;q16_3;q16_4;q16_5;q16_6;q17;q18;q18b;q19;q20parents_1;q20parents_2;q20parents_3;q20parents_4;q20parents_5;q20parents_6;q20enfants_1;q20enfants_2;q20enfants_3;q20enfants_4;q20enfants_5;q20enfants_6;q21;q21b;q22;q23;q23b;q23b_autre;s1;villesstd;classville;s2;ageaine;s4_1;s4_2;s4_3;s5;s5b;S6_1;age;s8_1;s9_1;s6_2;agecon;s8_2;S9_2;agemen;cspmen;cspgroup;classeage;classenbenfant;classeageaine;;;;;;
767;2;2;2;1;1;1;2;2;1;1;1;0;0;0;0;0;1;0;999;1;2;3;1;3;2;2;3;3;2;3;3;2;1;2;2;2;1;3;3;5;2;0;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;1;0;0;3;2;995;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;2;2;995;;PETIT COURONNE;PETITCOURONNE;2;2;19;5;2;997;2;997;2;41;1;5;997;997;997;997;41;5;3;3;2;4;;;;;;
768;2;1;2;1;1;2;2;2;2;1;0;1;0;1;1;0;0;0;999;1;2;2;2;2;2;2;2;2;2;2;3;2;2;1;1;2;1;3;3;2;3;1;0;0;0;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;1;995;995;995;995;995;995;995;3;1;0;1;0;0;0;0;2;1;1;4;1;999;999;2;999;999;999;999;999;2;3;3;1;2;4;2;995;;TOURVILLE LA RIVIERE;TOURVILLELARIVIERE;2;1;22;5;997;997;2;997;1;53;1;4;997;997;997;997;53;4;2;4;1;4;;;;;;
769;2;2;2;2;1;3;1;2;2;1;1;0;0;1;0;0;1;0;999;5;2;3;5;3;5;4;3;3;4;2;4;3;2;2;3;3;3;3;3;5;3;0;0;1;1;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;0;0;1;0;0;2;2;995;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;4;995;;CAUDEBEC LES ELBEUF;CAUDEBECLESELBEUF;2;1;9;997;997;997;2;997;2;39;1;5;997;997;997;997;39;5;3;2;1;2;;;;;;
770;2;1;2;2;1;1;1;1;2;1;1;0;0;0;0;0;0;1;1;3;2;999;2;5;3;3;3;1;4;4;999;1;1;1;3;3;1;3;1;5;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;0;0;1;0;0;0;0;2;2;0;1;0;0;0;0;2;2;995;4;2;2;2;2;2;3;999;999;999;999;999;999;1;2;3;1;6;;SAINT ETIENNE DU ROUVRAY;SAINTETIENNEDUROUVRAY;1;3;22;6;6;3;2;997;2;43;1;6;997;997;997;997;43;6;3;3;3;4;;;;;;
771;2;1;3;1;1;1;1;1;2;1;1;1;1;1;0;1;0;0;1;1;2;2;1;1;2;1;1;1;2;2;2;1;2;1;1;1;1;4;4;3;3;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;3;2;0;1;0;0;0;0;2;2;995;4;2;2;2;1;1;2;2;2;2;2;2;3;1;2;4;1;4;;FONTAINE LE BOURG;FONTAINELEBOURG;3;2;16;2;1;997;2;997;2;41;1;4;997;997;997;997;41;4;2;3;2;3;;;;;;
772;2;2;2;4;1;1;1;1;2;999;1;0;1;1;0;0;0;0;1;3;2;2;3;5;3;4;1;1;1;4;1;1;1;1;1;1;1;4;4;5;999;1;0;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;1;4;4;1;1;1;2;1;3;2;1;1;2;1;3;1;2;4;1;2;;GRAND QUEVILLY;GRANDQUEVILLY;1;2;24;6;2;997;2;997;2;48;1;5;997;997;997;997;48;5;3;3;2;4;;;;;;
773;2;2;2;2;3;3;2;2;2;3;995;995;995;995;995;995;995;995;2;5;3;3;3;5;2;4;3;4;3;3;3;3;2;3;2;2;2;3;3;2;3;0;0;0;1;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;0;0;0;1;0;2;2;995;2;2;2;2;2;3;3;2;2;2;2;3;3;1;2;4;2;995;;999;999;999;1;18;3;997;997;2;997;1;42;1;5;997;997;997;997;42;5;3;3;1;4;;;;;;
774;2;3;3;3;3;3;2;2;3;3;995;995;995;995;995;995;995;995;2;4;3;3;3;3;3;3;3;3;3;3;3;1;2;1;1;2;2;3;2;2;2;0;0;1;0;0;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;0;0;0;1;0;3;1;4;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;1;4;;LA CHAUSSEE;LACHAUSSEE;3;3;18;6;6;5;2;997;1;54;1;3;997;997;997;997;54;3;1;4;3;4;;;;;;
775;2;999;1;1;1;1;2;2;1;1;1;1;1;1;0;0;0;0;2;3;2;1;1;2;1;1;1;2;2;2;2;2;2;1;1;2;2;4;4;5;3;1;1;1;0;0;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;1;2;0;0;0;0;0;1;2;1;4;4;1;1;1;1;1;2;2;2;2;2;3;3;1;2;4;1;6;;ETRETAT;ETRETAT;3;3;23;6;6;2;2;997;2;47;2;8;997;997;997;997;47;8;4;3;3;4;;;;;;
776;2;2;3;3;1;3;1;2;2;1;1;1;1;1;0;0;0;0;1;1;1;5;5;4;3;1;1;4;4;1;3;1;1;3;3;1;2;3;3;5;3;1;0;0;0;0;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;1;0;0;0;0;0;2;2;995;4;2;2;2;1;1;3;2;2;2;2;2;3;1;2;4;1;4;;SAINT PIERRE DE VARENGEVILLE;SAINTPIERREDEVARENGEVILLE;3;1;20;6;997;997;2;997;2;55;2;7;997;997;997;997;55;7;4;4;1;4;;;;;;
777;2;2;2;2;1;1;1;1;2;1;1;0;1;1;0;0;0;0;1;3;2;2;2;2;2;4;1;1;1;4;1;1;1;1;1;1;1;3;3;5;3;1;1;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;0;0;1;0;0;3;2;995;4;2;1;2;1;1;999;2;2;2;2;2;999;1;2;3;2;995;;GERVILLE;GERVILLE;3;3;20;6;6;5;2;997;2;51;1;5;997;997;997;997;51;5;3;4;3;4;;;;;;
778;2;2;2;2;1;1;2;2;2;1;0;1;1;1;0;0;0;0;2;3;2;2;3;3;2;1;1;1;1;1;4;3;1;1;3;3;3;3;3;2;2;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;1;0;0;2;1;4;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;1;1;;OFFRANVILLE;OFFRANVILLE;3;2;19;6;1;997;2;997;2;52;2;8;997;997;997;997;52;8;4;4;2;4;;;;;;
779;2;2;4;2;1;1;1;1;3;1;0;1;0;1;0;0;0;1;1;3;3;2;5;1;3;2;3;1;1;999;1;1;1;1;3;3;1;3;4;5;3;1;1;1;0;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;1;0;0;0;0;0;3;1;4;4;1;1;1;1;1;3;2;2;2;2;2;3;1;2;3;1;6;;FECAMP;FECAMP;2;1;16;2;997;997;2;997;2;47;1;5;997;997;997;997;47;5;3;3;1;3;;;;;;
780;2;2;999;999;999;999;999;999;1;3;995;995;995;995;995;995;995;995;1;5;2;5;5;5;5;4;3;4;4;4;4;3;2;3;3;3;3;4;4;5;2;1;0;0;0;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;1;1;0;0;0;0;0;3;2;995;1;2;2;2;2;3;3;2;2;2;2;3;3;2;995;2;1;4;;TORCY LE PETIT;TORCYLEPETIT;3;1;1;997;997;997;2;997;2;26;2;8;997;997;997;997;26;8;4;1;1;1;;;;;;
781;2;1;1;1;3;3;2;2;1;2;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;5;3;1;1;1;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;2;2;1;0;0;0;0;0;3;2;995;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;4;1;1;;MONTIVILLIERS;MONTIVILLIERS;2;3;18;3;1;1;2;997;2;40;1;5;997;997;997;997;40;5;3;3;3;4;;;;;;
782;2;2;2;3;1;1;2;1;2;1;1;0;1;0;0;0;1;0;1;5;3;2;2;5;3;3;1;1;1;3;2;2;1;2;2;1;2;3;3;5;3;1;0;1;0;0;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;999;2;0;1;0;0;0;0;0;2;2;0;1;0;0;0;0;2;1;4;999;2;1;1;2;1;3;2;1;1;2;3;3;1;1;999;1;4;;GRAVILLE;GRAVILLE;3;1;18;2;997;997;2;997;2;44;1;6;997;997;997;997;44;6;3;3;1;4;;;;;;
783;2;1;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;5;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;4;3;3;3;0;1;1;0;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;1;0;3;1;0;1;0;0;0;0;1;2;995;4;1;1;1;1;2;3;1;1;1;1;2;3;1;2;4;2;995;;LUNERAY;LUNERAY;3;3;16;2;997;997;2;997;2;41;1;5;997;997;997;997;41;5;3;3;3;3;;;;;;
784;2;2;1;1;1;1;2;2;3;1;1;0;0;1;0;0;0;0;2;2;2;1;1;2;2;1;1;3;3;3;1;1;1;2;1;2;1;3;4;4;3;0;1;0;1;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;0;0;1;0;0;2;2;995;4;1;1;1;1;3;3;2;2;2;2;2;3;1;2;4;1;1;;CRESSY;CRESSY;3;3;14;1;1;997;2;997;1;40;1;5;997;997;997;997;40;5;3;3;3;3;;;;;;
785;2;1;1;2;1;1;1;1;1;3;995;995;995;995;995;995;995;995;2;2;2;1;5;5;1;2;2;2;4;4;2;1;1;1;3;3;1;3;4;5;3;1;1;1;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;3;2;0;0;0;0;1;0;3;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;995;4;1;2;;LE HAVRE;LEHAVRE;1;4;21;6;3;997;2;997;2;40;1;5;997;997;997;997;40;5;3;3;4;4;;;;;;
786;2;1;2;1;1;1;1;1;2;1;1;1;0;1;0;0;0;0;1;2;2;2;2;1;5;2;2;2;2;1;4;1;1;1;1;1;3;4;4;3;3;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;3;2;0;0;0;1;0;0;3;1;4;3;2;1;2;1;1;3;2;2;2;2;2;3;1;1;4;1;4;;GRUMESNIL;GRUMESNIL;3;2;18;5;997;997;2;997;2;42;1;5;997;997;997;997;42;5;3;3;2;4;;;;;;
787;2;1;2;1;3;3;2;2;1;1;1;0;1;1;0;0;1;0;2;2;2;2;1;3;2;2;2;2;2;1;2;2;2;2;2;1;2;3;4;4;3;1;1;1;0;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;1;0;0;0;0;2;2;995;3;1;1;1;1;3;3;1;1;1;1;1;3;1;2;4;1;2;;ROCHEVILLE;ROCHEVILLE;3;2;22;6;997;997;2;997;2;41;1;5;997;997;997;997;41;5;3;3;2;4;;;;;;
788;2;1;4;1;3;3;2;2;1;3;995;995;995;995;995;995;995;995;2;5;3;3;3;3;5;3;1;3;3;3;3;3;3;3;3;3;3;4;3;2;3;1;0;0;0;0;1;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;1;2;0;0;0;0;1;0;3;1;4;2;1;2;2;2;1;2;1;2;2;2;2;2;999;1;3;4;995;;ELBEUF;ELBEUF;2;1;14;997;997;997;2;997;2;45;2;8;997;997;997;997;45;8;4;3;1;3;;;;;;
789;2;1;3;3;3;3;2;2;1;2;0;0;0;0;0;0;0;0;1;5;2;2;5;1;5;4;1;2;4;2;4;3;1;2;3;999;3;999;4;5;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;1;0;0;0;0;0;2;2;995;4;2;2;2;2;2;2;3;3;3;3;3;3;2;995;3;4;995;;ELBEUF;ELBEUF;2;1;7;997;997;997;2;997;2;27;2;8;997;997;997;997;27;8;4;1;1;2;;;;;;
790;2;3;3;3;3;3;1;1;3;3;995;995;995;995;995;995;995;995;1;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;2;1;2;0;0;0;0;0;1;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;1;0;0;0;0;1;0;3;1;4;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;2;2;995;;LE MESNIL ESNARD;LEMESNILESNARD;1;2;21;6;5;997;2;997;1;54;1;3;997;997;997;997;54;3;1;4;2;4;;;;;;
791;2;1;2;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;999;2;1;3;1;5;2;1;1;1;1;4;1;1;1;1;1;3;1;2;4;1;1;1;1;1;0;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;1;0;0;0;0;0;3;2;995;4;1;1;2;2;2;3;1;1;1;1;2;2;1;1;4;4;995;;MONT SAINT AIGNAN;MONTSAINTAIGNAN;1;2;20;3;3;997;2;997;2;44;1;5;997;997;997;997;44;5;3;3;2;4;;;;;;
792;2;1;2;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;3;3;3;3;1;0;1;1;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;999;999;999;4;2;2;999;1;1;1;999;999;999;999;999;999;1;2;4;999;999;;MONT SAINT AIGNAN;MONTSAINTAIGNAN;1;1;22;6;997;997;2;997;2;54;2;8;997;997;997;997;54;8;4;4;1;4;;;;;;
793;2;1;2;2;2;2;1;1;1;1;1;0;0;1;0;0;0;0;1;2;2;2;2;2;2;4;3;3;3;1;1;3;2;2;2;2;2;4;3;5;2;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;0;0;4;2;0;0;0;1;0;0;3;999;999;4;2;2;2;1;2;3;2;2;2;2;2;3;1;2;4;2;995;;ROUEN;ROUEN;1;1;10;997;997;997;2;997;1;41;1;4;997;997;997;997;41;4;2;3;1;2;;;;;;
794;2;2;2;1;1;3;1;2;1;999;1;1;0;1;0;0;0;1;2;2;2;2;1;2;2;3;3;3;3;3;3;2;2;2;2;2;2;3;4;1;3;0;0;0;1;0;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;1;0;0;0;0;2;1;2;2;1;1;1;1;1;2;2;2;2;2;3;3;1;2;3;2;995;;MONTIVILLIERS;MONTIVILLIERS;2;1;25;6;997;997;2;997;2;60;2;7;997;997;997;997;60;7;4;4;1;4;;;;;;
795;2;2;1;1;1;1;1;1;2;1;1;0;0;1;0;0;0;0;1;1;2;1;4;999;1;1;1;999;999;1;1;999;1;999;999;1;1;4;4;4;3;1;0;0;1;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;995;995;995;995;995;995;995;995;4;2;0;1;0;0;0;0;1;2;995;4;1;999;999;999;1;999;999;999;999;999;999;999;1;2;4;1;6;;ROUEN;ROUEN;1;2;15;2;997;997;2;997;1;31;1;5;997;997;997;997;31;5;3;2;2;3;;;;;;
796;2;2;3;1;3;1;1;2;2;3;995;995;995;995;995;995;995;995;1;3;2;1;5;4;2;1;2;2;4;3;2;1;2;2;3;2;1;2;3;2;2;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;1;0;2;1;0;0;0;0;0;1;2;2;995;3;2;2;1;1;1;3;2;2;2;2;2;3;1;2;3;1;6;;ELBEUF;ELBEUF;2;1;14;997;997;997;2;997;2;35;1;5;997;997;997;997;35;5;3;2;1;3;;;;;;
797;2;1;3;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;1;3;1;2;5;1;1;1;1;1;4;2;1;1;1;1;3;1;1;3;3;5;3;0;0;0;1;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;1;0;0;0;0;3;2;995;3;2;2;2;2;2;1;2;2;2;2;2;3;1;2;4;1;4;;ROUEN;ROUEN;1;2;14;1;997;997;2;997;2;38;1;5;997;997;997;997;38;5;3;2;2;3;;;;;;
798;2;1;3;2;1;1;2;2;1;1;1;0;0;1;0;0;0;0;2;3;2;3;3;2;2;3;1;3;3;3;3;2;1;2;2;2;2;3;3;2;3;1;1;0;0;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;999;1;0;0;0;1;0;0;1;999;999;3;2;2;2;2;2;3;2;2;2;2;3;3;1;2;3;2;995;;LE HAVRE;LEHAVRE;1;2;20;5;3;997;2;997;2;47;1;4;997;997;997;997;47;4;2;3;2;4;;;;;;
799;2;2;3;2;3;3;2;2;2;2;0;0;0;0;0;0;0;0;2;5;3;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;2;2;5;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;0;0;1;0;0;2;2;995;3;2;2;2;2;1;3;2;2;2;2;1;3;1;2;3;1;4;;ROUEN;ROUEN;1;2;19;5;2;997;2;997;2;56;1;4;997;997;997;997;56;4;2;4;2;4;;;;;;
800;2;1;3;2;1;1;1;1;2;1;0;0;0;1;0;0;0;0;2;3;2;3;5;4;2;3;1;3;3;3;1;3;2;3;3;3;2;3;3;2;3;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;4;2;0;0;0;1;0;0;2;2;995;3;2;2;2;1;1;3;2;2;2;2;2;3;1;2;2;2;995;;PETIT COURONNE;PETITCOURONNE;2;2;20;5;2;997;2;997;2;46;1;5;997;997;997;997;46;5;3;3;2;4;;;;;;
801;2;2;3;2;3;3;2;2;2;2;0;0;0;0;0;0;0;0;2;3;3;5;5;3;5;4;3;4;4;4;3;2;2;2;2;2;2;3;2;5;2;0;0;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;999;2;0;0;0;0;1;0;3;2;995;3;2;1;2;2;2;2;999;999;999;999;999;999;1;2;4;4;995;;CLEON;CLEON;2;2;11;997;997;997;2;997;1;34;1;6;997;997;997;997;34;6;3;2;2;2;;;;;;
802;2;1;2;1;3;3;2;2;1;1;1;1;0;1;0;0;0;0;2;5;5;5;5;5;5;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;0;1;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;0;0;0;0;1;0;3;2;995;2;2;3;3;2;3;3;999;999;999;999;999;999;1;2;999;4;995;;VEAUVILLE LES BAONS;VEAUVILLELESBAONS;3;1;15;2;997;997;2;997;1;42;1;6;997;997;997;997;42;6;3;3;1;3;;;;;;
803;2;1;2;2;1;3;1;1;1;1;1;0;1;1;0;0;1;0;1;3;2;2;2;2;2;3;1;3;3;3;1;1;1;1;1;1;1;3;3;5;3;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;1;0;0;3;2;995;4;2;2;2;2;2;3;2;2;2;2;2;3;1;2;4;2;995;;GRAND COURONNE;GRANDCOURONNE;2;2;17;2;1;997;2;997;2;44;1;5;997;997;997;997;44;5;3;3;2;3;;;;;;
804;2;3;1;1;1;1;2;2;1;1;0;1;0;1;1;0;0;0;2;5;2;1;5;3;1;3;3;1;4;1;2;2;1;1;3;2;2;3;3;5;3;0;1;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;1;0;1;0;0;0;0;3;2;995;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;1;3;;LIMPIVILLE;LIMPIVILLE;3;2;7;997;997;997;2;997;2;34;1;5;997;997;997;997;34;5;3;2;2;2;;;;;;
805;2;2;3;2;1;1;2;2;2;1;1;0;0;0;0;0;0;0;1;5;4;4;5;5;5;4;3;3;4;4;4;1;1;1;3;3;3;2;4;5;2;1;0;1;1;0;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;1;0;0;0;0;3;2;995;3;1;1;1;1;3;3;1;1;1;2;2;2;1;2;4;2;995;;ROUEN;ROUEN;1;2;3;997;997;997;2;997;2;26;1;5;997;997;997;997;26;5;3;1;2;1;;;;;;
806;2;2;2;2;1;3;2;2;1;3;995;995;995;995;995;995;995;995;2;5;2;2;3;3;3;4;1;3;3;3;3;3;1;2;2;2;2;3;3;5;1;1;0;0;0;0;0;2;2;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;1;0;0;0;0;0;1;2;1;4;4;2;2;2;2;1;2;2;1;2;2;2;2;2;995;3;2;995;;ELBEUF;ELBEUF;2;2;11;6;1;997;2;997;2;52;1;5;997;997;997;997;52;5;3;4;2;2;;;;;;
807;2;2;2;1;3;3;1;1;1;3;995;995;995;995;995;995;995;995;2;5;3;4;5;3;2;4;3;3;4;3;3;3;1;1;3;1;1;3;3;5;3;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;2;995;3;2;2;2;2;1;3;2;2;2;2;1;3;1;2;3;2;995;;LE HAVRE;LEHAVRE;1;1;18;5;997;997;2;997;2;47;1;4;997;997;997;997;47;4;2;3;1;4;;;;;;
808;2;2;3;2;1;1;2;2;2;1;0;0;1;0;0;0;0;0;2;2;3;3;2;3;3;3;3;3;3;3;1;1;2;2;2;1;1;3;3;1;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;0;0;3;1;0;0;0;1;0;0;2;2;995;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;2;995;;BOLBEC;BOLBEC;2;1;18;3;997;997;2;997;2;57;1;3;997;997;997;997;57;3;1;4;1;4;;;;;;
809;2;2;3;2;3;2;2;2;1;1;1;0;1;1;0;0;0;0;2;4;1;5;5;5;5;3;2;4;4;4;4;2;2;3;3;3;3;4;4;4;3;1;1;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;1;0;0;0;0;0;3;2;995;2;2;1;1;2;3;999;2;3;1;3;3;3;1;2;4;1;4;;SAINT VALERY EN CAUX;SAINTVALERYENCAUX;3;1;1;997;997;997;2;997;2;26;2;8;997;997;997;997;26;8;4;1;1;1;;;;;;
810;2;1;1;1;1;1;2;2;1;3;995;995;995;995;995;995;995;995;2;2;1;1;1;2;1;2;1;3;2;4;4;2;2;2;2;2;2;4;4;3;3;1;1;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;3;2;0;0;0;0;1;0;3;1;4;4;2;2;2;2;2;3;2;2;2;2;2;3;1;2;4;1;2;;LONGUEVILLE SUR SCIE;LONGUEVILLESURSCIE;3;3;20;6;3;997;2;997;2;40;2;8;997;997;997;997;40;8;4;3;3;4;;;;;;
811;2;1;3;2;3;3;2;2;1;1;1;0;1;1;0;0;1;0;1;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;4;5;3;1;0;1;0;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;1;2;0;0;0;0;0;0;999;2;995;3;2;2;1;1;2;1;999;999;999;999;999;999;1;2;3;999;999;;LE HAVRE;LEHAVRE;1;2;22;6;6;997;2;997;2;50;1;5;997;997;997;997;50;5;3;4;2;4;;;;;;
812;2;2;3;2;1;1;2;1;2;1;1;1;1;1;0;0;0;0;1;5;2;2;5;3;2;3;1;2;4;1;2;1;1;2;3;2;2;3;3;5;3;1;1;1;0;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;999;2;0;0;1;0;0;1;0;3;2;0;1;0;0;0;0;2;2;995;2;2;2;2;2;999;3;2;2;2;2;999;3;1;2;3;1;4;;AVESNES EN VAL;AVESNESENVAL;3;2;10;997;997;997;2;997;2;29;1;5;997;997;997;997;29;5;3;1;2;2;;;;;;
813;2;1;2;1;1;1;2;2;2;1;1;0;1;1;0;0;0;0;2;3;1;1;1;2;2;1;3;3;3;1;1;2;1;2;1;1;2;4;4;5;3;1;1;1;0;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;1;995;995;995;995;995;995;995;999;2;0;0;0;1;0;0;2;1;4;2;2;2;1;2;2;2;2;2;1;1;2;2;2;995;4;1;2;;LE HAVRE CAUCRIAUVILLE;LEHAVRECAUCRIAUVILLE;3;3;22;6;5;997;2;997;2;39;2;8;997;997;997;997;39;8;4;2;3;4;;;;;;
814;2;1;2;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;2;5;2;3;3;1;5;3;1;1;1;4;4;3;1;2;3;1;3;4;4;4;2;1;1;0;1;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;1;1;0;0;0;0;0;2;2;995;3;999;999;999;999;999;999;999;999;999;999;999;999;2;995;4;1;4;;PETIT COURONNE;PETITCOURONNE;2;1;7;997;997;997;2;997;2;24;2;8;997;997;997;997;24;8;4;1;1;2;;;;;;
